Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
2024,Nankana Sahib,Punjab,651221.0,9826.0,1.5088579760173582,0
2024,Narowal,Punjab,1238140.0,52748.0,4.260261359781608,0
2024,Naushehro Feroz,Sindh,943165.0,27586.0,2.9248328765380394,0
2024,North Waziristan Agency,KPK,245616.0,434.0,0.1766985864113087,0
2024,Nowshera,KPK,645513.0,4352.0,0.6741924639782623,0
2024,Okara,Punjab,2079837.0,115970.0,5.575917728168121,0
2024,Pakpattan,Punjab,840218.0,25172.0,2.9958891620984076,0
2024,Panjgur-cum-Kech,Balochistan,225058.0,196.0,0.08708866158945694,0
2024,Peshawar,KPK,1940449.0,11974.0,0.6170736772777846,0
2024,Pishin-cum -Ziarat,Balochistan,104156.0,4036.0,3.874956795575867,0
2024,Quetta,Balochistan,524530.0,3696.0,0.704630812346291,0
2024,Rahim Yar Khan,Punjab,2721478.0,80696.0,2.9651534938000603,0
2024,Rajan Pur,Punjab,936197.0,93739.0,10.012743044466069,0
2024,Rawalpindi,Punjab,2255143.0,59591.0,2.642448838055946,0
2024,Rawalpindi cum Muree,Punjab,681236.0,14838.0,2.1780998068217183,0
2024,Sahiwal,Punjab,1082450.0,28458.0,2.6290359831862906,0
2024,Sanghar,Sindh,1208503.0,2965.0,0.24534486054234042,0
2024,Sargodha,Punjab,2632006.0,19230.0,0.7306214347535682,0
2024,Shaheed Benazirabad,Sindh,925979.0,9481.0,1.0238893106647127,0
2024,Shangla,KPK,465602.0,54311.0,11.66468357094686,0
2024,Sheikhupura,Punjab,1269378.0,88980.0,7.009732325595685,0
2024,Sherani cum zhob  cum killa saifullah,Balochistan,323588.0,1505.0,0.4650975932358431,0
2024,Shikarpur,Sindh,506338.0,3512.0,0.6936078271826329,0
2024,Sialkot,Punjab,2401353.0,9785.0,0.40747861726285145,0
2024,Sohbat Pur-cum-Jaffarabad-cum-Usta Mohammad-cum-Na,Balochistan,265168.0,88.0,0.033186508175948835,0
2024,South wazristan upper cum lower,KPK,136306.0,257.0,0.1885463589277068,0
2024,Sujawal,Sindh,424328.0,6301.0,1.484936181444543,0
2024,Sukkur,Sindh,608943.0,786.0,0.12907612042506442,0
2024,Surab,Balochistan,300082.0,95.0,0.03165801347631647,0
2024,Swabi,KPK,557799.0,1308.0,0.23449307008438525,0
2024,Swat,KPK,1182930.0,90900.0,7.684309299789506,0
2024,Talang cum Chakwal,Punjab,342427.0,18.0,0.005256594836271672,0
2024,Tando Allahyar,Sindh,451632.0,807.0,0.17868530130725901,0
2024,Tando Muhammad Khan,Sindh,356444.0,23810.0,6.679871171909192,0
2024,Tank cum Dera Ismail Khan,KPK,224849.0,150.0,0.06671143745357996,0
2024,Taunsa,Punjab,239745.0,1458.0,0.6081461552899956,0
2024,Tharparkar,Sindh,723591.0,20393.0,2.8183048158420987,0
2024,Thatta,Sindh,254835.0,3240.0,1.2714109129436693,0
2024,Toba Tek Singh,Punjab,1215774.0,7840.0,0.6448566921154755,0
2024,Umerkot,Sindh,207189.0,335.0,0.16168812050832815,0
2024,Upper Dir,KPK,590433.0,361.0,0.06114156898411843,0
2024,Wazirabad,Punjab,646872.0,3967.0,0.6132588827465093,0
2024,Ziarat cum harnai cum sibi cum Kohlu cum Dera Bugt,Balochistan,453352.0,46683.0,10.297296581905451,0
2024,khanewal,Punjab,1939339.0,235350.0,12.13557815317487,0
2024,vehari,Punjab,1403617.0,45682.0,3.254591530310619,0
